Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
0.991666667,2.37864887,3.123779169,3.147970837,-0.096155673,0.147636875
0.995833333,2.391676738,3.126688252,3.147332032,-0.153313197,0.097801801
1,2.40489447,3.172255669,3.142557109,-1.145981506,0.084584302
1.004166667,2.41859245,3.28751534,3.155978396,3.221108883,0.224851166
1.008333333,2.430637867,2.890899934,3.139543019,-3.94449058,0.067321214
1.0125,2.44398414,3.203105592,3.144616794,1.217705999,0.059575646
1.016666667,2.456244652,2.94252293,3.139877251,-1.137490181,0.089639025
1.020833333,2.468818949,3.017831251,3.146108682,1.495543462,0.228681486
1.025,2.482234194,3.219658708,3.140947978,-1.238569051,0.118634001
1.029166667,2.494984663,3.060112684,3.145601402,1.116821629,0.181179625
1.033333333,2.507828952,3.082629353,3.138468531,-1.711889011,0.127032276
1.0375,2.520118622,2.94952067,3.137248423,-0.292825892,0.083605811
1.041666667,2.534147979,3.36704579,3.133917205,-0.799492163,-0.004648094
1.045833333,2.546632625,2.996314928,3.139897661,1.435309347,0.079216608
1.05,2.559504334,3.089210182,3.126381532,-3.243871065,-0.189641276
1.054166667,2.571784043,2.947130208,3.124334203,-0.491358981,-0.203496725
1.058333333,2.585820367,3.368717846,3.132592908,1.982089228,-0.093775362
1.0625,2.597782676,2.870953965,3.116590252,-3.840637243,-0.362296614
1.066666667,2.61153904,3.301527324,3.119116124,0.606209218,-0.403890154
1.070833333,2.623787706,2.939679957,3.105786117,-3.199201631,-0.557907826
1.075,2.636311261,3.005653305,3.108086977,0.552206268,-0.410745995
1.079166667,2.649154172,3.082298443,3.100916511,-1.720911742,-0.537719361
1.083333333,2.662242596,3.14122179,3.102870273,0.468902929,-0.566851489
1.0875,2.674978521,3.056622168,3.097479262,-1.293842865,-0.471316354
1.091666667,2.687784906,3.073532216,3.092657107,-1.157317099,-0.534858037
1.095833333,2.701024877,3.177593171,3.094809667,0.516614417,-0.510347233
1.1,2.714791063,3.303884639,3.101897522,1.701085314,-0.436171293
1.104166667,2.727090943,2.951971066,3.093086138,-2.114732193,-0.47492132
1.108333333,2.740264646,3.161688692,3.088053072,-1.207935825,-0.652083108
1.1125,2.75268522,2.98093782,3.091654588,0.864363709,-0.459728937
1.116666667,2.76467939,2.87860083,3.078674397,-3.115245714,-0.633047005
1.120833333,2.777894882,3.171718061,3.087842203,2.200273265,-0.499536468
1.125,2.790360137,2.991661143,3.086795398,-0.251233041,-0.569407528
1.129166667,2.804071667,3.290767264,3.089639741,0.682642135,-0.49255908
1.133333333,2.816146516,2.897963744,3.083153783,-1.556629818,-0.599497138
1.1375,2.828845113,3.047663358,3.081755143,-0.335673549,-0.54444852
